Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSS'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 12,582,912
  lm_head                 : 2,097,152
  transformer_matrices    : 4,718,976
  scalars                 : 12
  total                   : 21,496,204
Estimated FLOPs per token: 4.915430e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010792 | lrm: 1.00 | dt: 9090ms | tok/sec: 3,604 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.946427 | lrm: 1.00 | dt: 201ms | tok/sec: 163,419 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.667118 | lrm: 1.00 | dt: 202ms | tok/sec: 162,372 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.374587 | lrm: 1.00 | dt: 203ms | tok/sec: 161,167 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.130298 | lrm: 1.00 | dt: 204ms | tok/sec: 160,658 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.904908 | lrm: 1.00 | dt: 205ms | tok/sec: 159,714 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.708995 | lrm: 1.00 | dt: 205ms | tok/sec: 159,970 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.537808 | lrm: 1.00 | dt: 205ms | tok/sec: 160,220 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.381361 | lrm: 1.00 | dt: 204ms | tok/sec: 160,979 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.243413 | lrm: 1.00 | dt: 204ms | tok/sec: 160,291 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 7.119427 | lrm: 1.00 | dt: 205ms | tok/sec: 160,139 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 7.001260 | lrm: 1.00 | dt: 204ms | tok/sec: 160,513 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.903204 | lrm: 1.00 | dt: 204ms | tok/sec: 160,752 | mfu: 0.8% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 6.807412 | lrm: 1.00 | dt: 204ms | tok/sec: 160,376 | mfu: 0.8% | epoch: 1 | remaining: 299s    
step 00157 (10.0%) | loss: 4.517300 | lrm: 1.00 | dt: 206ms | tok/sec: 159,311 | mfu: 0.8% | epoch: 1 | remaining: 270s    
step 00158 (10.1%) | loss: 4.505919 | lrm: 1.00 | dt: 206ms | tok/sec: 159,106 | mfu: 0.8% | epoch: 1 | remaining: 270s    
step 00159 (10.1%) | loss: 4.496962 | lrm: 1.00 | dt: 207ms | tok/sec: 158,337 | mfu: 0.8% | epoch: 1 | remaining: 269s    
step 00160 (10.2%) | loss: 4.476502 | lrm: 1.00 | dt: 206ms | tok/sec: 159,315 | mfu: 0.8% | epoch: 1 | remaining: 269s    
step 00161 (10.3%) | loss: 4.479946 | lrm: 1.00 | dt: 206ms | tok/sec: 159,348 | mfu: 0.8% | epoch: 1 | remaining: 269s    
step 00162 (10.3%) | loss: 4.467441 | lrm: 1.00 | dt: 206ms | tok/sec: 158,919 | mfu: 0.8% | epoch: 1 | remaining: 269s    
step 00163 (10.4%) | loss: 4.457763 | lrm: 1.00 | dt: 206ms | tok/sec: 159,163 | mfu: 0.8% | epoch: 1 | remaining: 269s    
step 00164 (10.5%) | loss: 4.447937 | lrm: 1.00 | dt: 206ms | tok/sec: 158,701 | mfu: 0.8% | epoch: 1 | remaining: 268s    
step 00165 (10.5%) | loss: 4.436284 | lrm: 1.00 | dt: 207ms | tok/sec: 158,180 | mfu: 0.8% | epoch: 1 | remaining: 268s    
step 00166 (10.6%) | loss: 4.430411 | lrm: 1.00 | dt: 206ms | tok/sec: 159,151 | mfu: 0.8% | epoch: 1 | remaining: 268s    
step 00167 (10.7%) | loss: 4.433270 | lrm: 1.00 | dt: 207ms | tok/sec: 158,422 | mfu: 0.8% | epoch: 1 | remaining: 268s    
step 00168 (10.7%) | loss: 4.436617 | lrm: 1.00 | dt: 205ms | tok/sec: 159,765 | mfu: 0.8% | epoch: 1 | remaining: 268s    
step 00169 (10.8%) | loss: 4.425408 | lrm: 1.00 | dt: 206ms | tok/sec: 159,012 | mfu: 0.8% | epoch: 1 | remaining: 267s    
step 00170 (10.9%) | loss: 4.419116 | lrm: 1.00 | dt: 207ms | tok/sec: 158,108 | mfu: 0.8% | epoch: 1 | remaining: 267s    
step 00171 (10.9%) | loss: 4.415477 | lrm: 1.00 | dt: 206ms | tok/sec: 158,741 | mfu: 0.8% | epoch: 1 | remaining: 267s    
step 00172 (11.0%) | loss: 4.417245 | lrm: 1.00 | dt: 207ms | tok/sec: 158,446 | mfu: 0.8% | epoch: 1 | remaining: 267s    
step 00173 (11.1%) | loss: 4.410825 | lrm: 1.00 | dt: 206ms | tok/sec: 158,864 | mfu: 0.8% | epoch: 1 | remaining: 267s    
step 00174 (11.2%) | loss: 4.403193 | lrm: 1.00 | dt: 206ms | tok/sec: 159,032 | mfu: 0.8% | epoch: 1 | remaining: 266s    
step 00175 (11.2%) | loss: 4.396019 | lrm: 1.00 | dt: 207ms | tok/sec: 158,543 | mfu: 0.8% | epoch: 1 | remaining: 266s    
step 00176 (11.3%) | loss: 4.382552 | lrm: 1.00 | dt: 205ms | tok/sec: 159,569 | mfu: 0.8% | epoch: 1 | remaining: 266s    
step 00177 (11.4%) | loss: 4.380870 | lrm: 1.00 | dt: 207ms | tok/sec: 158,440 | mfu: 0.8% | epoch: 1 | remaining: 266s    
step 00178 (11.4%) | loss: 4.380498 | lrm: 1.00 | dt: 206ms | tok/sec: 158,792 | mfu: 0.8% | epoch: 1 | remaining: 266s    
step 00179 (11.5%) | loss: 4.368588 | lrm: 1.00 | dt: 206ms | tok/sec: 158,854 | mfu: 0.8% | epoch: 1 | remaining: 265s    
step 00180 (11.6%) | loss: 4.372900 | lrm: 1.00 | dt: 207ms | tok/sec: 158,350 | mfu: 0.8% | epoch: 1 | remaining: 265s    
step 00181 (11.6%) | loss: 4.364862 | lrm: 1.00 | dt: 206ms | tok/sec: 158,935 | mfu: 0.8% | epoch: 1 | remaining: 265s    
step 00182 (11.7%) | loss: 4.365939 | lrm: 1.00 | dt: 207ms | tok/sec: 158,281 | mfu: 0.8% | epoch: 1 | remaining: 265s    
step 00183 (11.8%) | loss: 4.365213 | lrm: 1.00 | dt: 206ms | tok/sec: 159,054 | mfu: 0.8% | epoch: 1 | remaining: 264s    
step 00184 (11.8%) | loss: 4.368792 | lrm: 1.00 | dt: 206ms | tok/sec: 158,709 | mfu: 0.8% | epoch: 1 | remaining: 264s    
step 00185 (11.9%) | loss: 4.355801 | lrm: 1.00 | dt: 207ms | tok/sec: 158,260 | mfu: 0.8% | epoch: 1 | remaining: 264s    
step 00186 (12.0%) | loss: 4.356255 | lrm: 1.00 | dt: 206ms | tok/sec: 159,152 | mfu: 0.8% | epoch: 1 | remaining: 264s    
step 00187 (12.0%) | loss: 4.352002 | lrm: 1.00 | dt: 206ms | tok/sec: 159,303 | mfu: 0.8% | epoch: 1 | remaining: 264s    
step 00188 (12.1%) | loss: 4.345428 | lrm: 1.00 | dt: 207ms | tok/sec: 158,484 | mfu: 0.8% | epoch: 1 | remaining: 263s    
step 00189 (12.2%) | loss: 4.343310 | lrm: 1.00 | dt: 206ms | tok/sec: 158,871 | mfu: 0.8% | epoch: 1 | remaining: 263s    
step 00190 (12.3%) | loss: 4.339958 | lrm: 1.00 | dt: 206ms | tok/sec: 158,835 | mfu: 0.8% | epoch: 1 | remaining: 263s    
step 00191 (12.3%) | loss: 4.339268 | lrm: 1.00 | dt: 207ms | tok/sec: 158,607 | mfu: 0.8% | epoch: 1 | remaining: 263s    
step 00192 (12.4%) | loss: 4.328813 | lrm: 1.00 | dt: 206ms | tok/sec: 158,968 | mfu: 0.8% | epoch: 1 | remaining: 263s    
step 00193 (12.5%) | loss: 4.325805 | lrm: 1.00 | dt: 207ms | tok/sec: 158,367 | mfu: 0.8% | epoch: 1 | remaining: 262s    
step 00194 (12.5%) | loss: 4.318630 | lrm: 1.00 | dt: 206ms | tok/sec: 159,323 | mfu: 0.8% | epoch: 1 | remaining: 262s    
step 00195 (12.6%) | loss: 4.323213 | lrm: 1.00 | dt: 207ms | tok/sec: 158,415 | mfu: 0.8% | epoch: 1 | remaining: 262s    
step 00196 (12.7%) | loss: 4.313709 | lrm: 1.00 | dt: 206ms | tok/sec: 158,756 | mfu: 0.8% | epoch: 1 | remaining: 262s    
step 00197 (12.7%) | loss: 4.302781 | lrm: 1.00 | dt: 207ms | tok/sec: 158,601 | mfu: 0.8% | epoch: 1 | remaining: 262s    
step 00198 (12.8%) | loss: 4.302512 | lrm: 1.00 | dt: 207ms | tok/sec: 158,379 | mfu: 0.8% | epoch: 1 | remaining: 261s    
step 00199 (12.9%) | loss: 4.308299 | lrm: 1.00 | dt: 206ms | tok/sec: 158,889 | mfu: 0.8% | epoch: 1 | remaining: 261s    
step 00200 (12.9%) | loss: 4.300385 | lrm: 1.00 | dt: 207ms | tok/sec: 158,396 | mfu: 0.8% | epoch: 1 | remaining: 261s    
step 00201 (13.0%) | loss: 4.291887 | lrm: 1.00 | dt: 206ms | tok/sec: 159,383 | mfu: 0.8% | epoch: 1 | remaining: 261s    
step 00202 (13.1%) | loss: 4.281834 | lrm: 1.00 | dt: 207ms | tok/sec: 158,650 | mfu: 0.8% | epoch: 1 | remaining: 261s    
step 00203 (13.2%) | loss: 4.286001 | lrm: 1.00 | dt: 208ms | tok/sec: 157,829 | mfu: 0.8% | epoch: 1 | remaining: 260s    
step 00204 (13.2%) | loss: 4.281435 | lrm: 1.00 | dt: 206ms | tok/sec: 159,068 | mfu: 0.8% | epoch: 1 | remaining: 260s    
step 00205 (13.3%) | loss: 4.282338 | lrm: 1.00 | dt: 206ms | tok/sec: 158,854 | mfu: 0.8% | epoch: 1 | remaining: 260s    
step 00206 (13.4%) | loss: 4.279294 | lrm: 1.00 | dt: 206ms | tok/sec: 158,704 | mfu: 0.8% | epoch: 1 | remaining: 260s    
step 00207 (13.4%) | loss: 4.264090 | lrm: 1.00 | dt: 207ms | tok/sec: 158,325 | mfu: 0.8% | epoch: 1 | remaining: 260s    
step 00208 (13.5%) | loss: 4.242546 | lrm: 1.00 | dt: 207ms | tok/sec: 158,057 | mfu: 0.8% | epoch: 1 | remaining: 259s    
step 00209 (13.6%) | loss: 4.251827 | lrm: 1.00 | dt: 207ms | tok/sec: 158,672 | mfu: 0.8% | epoch: 1 | remaining: 259s    
step 00210 (13.6%) | loss: 4.238421 | lrm: 1.00 | dt: 206ms | tok/sec: 159,347 | mfu: 0.8% | epoch: 1 | remaining: 259s    
step 00211 (13.7%) | loss: 4.224064 | lrm: 1.00 | dt: 206ms | tok/sec: 158,826 | mfu: 0.8% | epoch: 1 | remaining: 259s    
step 00212 (13.8%) | loss: 4.224381 | lrm: 1.00 | dt: 207ms | tok/sec: 158,545 | mfu: 0.8% | epoch: 1 | remaining: 258s    
step 00213 (13.8%) | loss: 4.219524 | lrm: 1.00 | dt: 207ms | tok/sec: 158,219 | mfu: 0.8% | epoch: 1 | remaining: 258s    
step 00214 (13.9%) | loss: 4.228592 | lrm: 1.00 | dt: 206ms | tok/sec: 158,701 | mfu: 0.8% | epoch: 1 | remaining: 258s    
step 00215 (14.0%) | loss: 4.228826 | lrm: 1.00 | dt: 207ms | tok/sec: 158,107 | mfu: 0.8% | epoch: 1 | remaining: 258s    
step 00216 (14.0%) | loss: 4.224749 | lrm: 1.00 | dt: 206ms | tok/sec: 159,006 | mfu: 0.8% | epoch: 1 | remaining: 258s    
step 00217 (14.1%) | loss: 4.224035 | lrm: 1.00 | dt: 206ms | tok/sec: 159,221 | mfu: 0.8% | epoch: 1 | remaining: 257s    
step 00218 (14.2%) | loss: 4.222371 | lrm: 1.00 | dt: 207ms | tok/sec: 158,334 | mfu: 0.8% | epoch: 1 | remaining: 257s    
step 00219 (14.3%) | loss: 4.215297 | lrm: 1.00 | dt: 206ms | tok/sec: 158,782 | mfu: 0.8% | epoch: 1 | remaining: 257s    
step 00220 (14.3%) | loss: 4.212822 | lrm: 1.00 | dt: 208ms | tok/sec: 157,603 | mfu: 0.8% | epoch: 1 | remaining: 257s    
step 00221 (14.4%) | loss: 4.214434 | lrm: 1.00 | dt: 206ms | tok/sec: 158,991 | mfu: 0.8% | epoch: 1 | remaining: 257s    
step 00222 (14.5%) | loss: 4.210714 | lrm: 1.00 | dt: 206ms | tok/sec: 159,258 | mfu: 0.8% | epoch: 1 | remaining: 256s    
step 00223 (14.5%) | loss: 4.204426 | lrm: 1.00 | dt: 207ms | tok/sec: 158,142 | mfu: 0.8% | epoch: 1 | remaining: 256s    
step 00224 (14.6%) | loss: 4.194035 | lrm: 1.00 | dt: 205ms | tok/sec: 159,636 | mfu: 0.8% | epoch: 1 | remaining: 256s    
step 00225 (14.7%) | loss: 4.187363 | lrm: 1.00 | dt: 207ms | tok/sec: 158,395 | mfu: 0.8% | epoch: 1 | remaining: 256s    
step 00226 (14.7%) | loss: 4.180574 | lrm: 1.00 | dt: 208ms | tok/sec: 157,914 | mfu: 0.8% | epoch: 1 | remaining: 256s    
step 00227 (14.8%) | loss: 4.179581 | lrm: 1.00 | dt: 207ms | tok/sec: 158,594 | mfu: 0.8% | epoch: 1 | remaining: 255s    
step 00228 (14.9%) | loss: 4.175998 | lrm: 1.00 | dt: 207ms | tok/sec: 158,500 | mfu: 0.8% | epoch: 1 | remaining: 255s    
step 00229 (14.9%) | loss: 4.179014 | lrm: 1.00 | dt: 207ms | tok/sec: 158,641 | mfu: 0.8% | epoch: 1 | remaining: 255s    
step 00230 (15.0%) | loss: 4.180392 | lrm: 1.00 | dt: 208ms | tok/sec: 157,746 | mfu: 0.8% | epoch: 1 | remaining: 255s    
step 00231 (15.1%) | loss: 4.166556 | lrm: 1.00 | dt: 206ms | tok/sec: 158,944 | mfu: 0.8% | epoch: 1 | remaining: 255s    
step 00232 (15.1%) | loss: 4.173129 | lrm: 1.00 | dt: 206ms | tok/sec: 159,007 | mfu: 0.8% | epoch: 1 | remaining: 254s    
step 00233 (15.2%) | loss: 4.172180 | lrm: 1.00 | dt: 207ms | tok/sec: 158,638 | mfu: 0.8% | epoch: 1 | remaining: 254s    
step 00234 (15.3%) | loss: 4.179917 | lrm: 1.00 | dt: 206ms | tok/sec: 158,950 | mfu: 0.8% | epoch: 1 | remaining: 254s    
step 00235 (15.4%) | loss: 4.169698 | lrm: 1.00 | dt: 208ms | tok/sec: 157,911 | mfu: 0.8% | epoch: 1 | remaining: 254s    
step 00236 (15.4%) | loss: 4.158092 | lrm: 1.00 | dt: 206ms | tok/sec: 159,274 | mfu: 0.8% | epoch: 1 | remaining: 254s    
step 00237 (15.5%) | loss: 4.149851 | lrm: 1.00 | dt: 207ms | tok/sec: 158,237 | mfu: 0.8% | epoch: 1 | remaining: 253s    
step 00238 (15.6%) | loss: 4.148283 | lrm: 1.00 | dt: 208ms | tok/sec: 157,856 | mfu: 0.8% | epoch: 1 | remaining: 253s    
step 00239 (15.6%) | loss: 4.142497 | lrm: 1.00 | dt: 206ms | tok/sec: 159,066 | mfu: 0.8% | epoch: 1 | remaining: 253s    
step 00240 (15.7%) | loss: 4.144813 | lrm: 1.00 | dt: 206ms | tok/sec: 159,381 | mfu: 0.8% | epoch: 1 | remaining: 253s    
step 00241 (15.8%) | loss: 4.137285 | lrm: 1.00 | dt: 207ms | tok/sec: 158,598 | mfu: 0.8% | epoch: 1 | remaining: 252s    
step 00242 (15.8%) | loss: 4.137515 | lrm: 1.00 | dt: 207ms | tok/sec: 158,013 | mfu: 0.8% | epoch: 1 | remaining: 252s    
step 00243 (15.9%) | loss: 4.130414 | lrm: 1.00 | dt: 207ms | tok/sec: 158,425 | mfu: 0.8% | epoch: 1 | remaining: 252s    
step 00244 (16.0%) | loss: 4.119488 | lrm: 1.00 | dt: 206ms | tok/sec: 158,722 | mfu: 0.8% | epoch: 1 | remaining: 252s    
step 00245 (16.0%) | loss: 4.120408 | lrm: 1.00 | dt: 207ms | tok/sec: 158,165 | mfu: 0.8% | epoch: 1 | remaining: 252s    
step 00246 (16.1%) | loss: 4.113532 | lrm: 1.00 | dt: 206ms | tok/sec: 158,784 | mfu: 0.8% | epoch: 1 | remaining: 251s    
step 00247 (16.2%) | loss: 4.114135 | lrm: 1.00 | dt: 206ms | tok/sec: 159,307 | mfu: 0.8% | epoch: 1 | remaining: 251s    
step 00248 (16.2%) | loss: 4.115768 | lrm: 1.00 | dt: 207ms | tok/sec: 158,115 | mfu: 0.8% | epoch: 1 | remaining: 251s    
step 00249 (16.3%) | loss: 4.108712 | lrm: 1.00 | dt: 208ms | tok/sec: 157,833 | mfu: 0.8% | epoch: 1 | remaining: 251s    
step 00250 (16.4%) | loss: 4.103167 | lrm: 1.00 | dt: 207ms | tok/sec: 158,415 | mfu: 0.8% | epoch: 1 | remaining: 251s    
step 00251 (16.5%) | loss: 4.105640 | lrm: 1.00 | dt: 205ms | tok/sec: 159,504 | mfu: 0.8% | epoch: 1 | remaining: 250s    
step 00252 (16.5%) | loss: 4.110358 | lrm: 1.00 | dt: 207ms | tok/sec: 158,570 | mfu: 0.8% | epoch: 1 | remaining: 250s    
step 00253 (16.6%) | loss: 4.110497 | lrm: 1.00 | dt: 207ms | tok/sec: 157,964 | mfu: 0.8% | epoch: 1 | remaining: 250s    
step 00254 (16.7%) | loss: 4.108888 | lrm: 1.00 | dt: 207ms | tok/sec: 158,289 | mfu: 0.8% | epoch: 1 | remaining: 250s    
step 00255 (16.7%) | loss: 4.108224 | lrm: 1.00 | dt: 207ms | tok/sec: 158,496 | mfu: 0.8% | epoch: 1 | remaining: 250s    
step 00256 (16.8%) | loss: 4.104199 | lrm: 1.00 | dt: 208ms | tok/sec: 157,821 | mfu: 0.8% | epoch: 1 | remaining: 249s    
step 00257 (16.9%) | loss: 4.097862 | lrm: 1.00 | dt: 207ms | tok/sec: 158,444 | mfu: 0.8% | epoch: 1 | remaining: 249s    
step 00258 (16.9%) | loss: 4.094797 | lrm: 1.00 | dt: 206ms | tok/sec: 158,834 | mfu: 0.8% | epoch: 1 | remaining: 249s    
step 00259 (17.0%) | loss: 4.100770 | lrm: 1.00 | dt: 206ms | tok/sec: 159,017 | mfu: 0.8% | epoch: 1 | remaining: 249s    
step 00260 (17.1%) | loss: 4.101309 | lrm: 1.00 | dt: 208ms | tok/sec: 157,822 | mfu: 0.8% | epoch: 1 | remaining: 249s    
step 00261 (17.1%) | loss: 4.108685 | lrm: 1.00 | dt: 207ms | tok/sec: 158,670 | mfu: 0.8% | epoch: 1 | remaining: 248s    
step 00262 (17.2%) | loss: 4.098666 | lrm: 1.00 | dt: 208ms | tok/sec: 157,574 | mfu: 0.8% | epoch: 1 | remaining: 248s    
step 00263 (17.3%) | loss: 4.094271 | lrm: 1.00 | dt: 206ms | tok/sec: 158,847 | mfu: 0.8% | epoch: 1 | remaining: 248s    
step 00264 (17.4%) | loss: 4.080772 | lrm: 1.00 | dt: 207ms | tok/sec: 158,387 | mfu: 0.8% | epoch: 1 | remaining: 248s    
step 00265 (17.4%) | loss: 4.086617 | lrm: 1.00 | dt: 208ms | tok/sec: 157,780 | mfu: 0.8% | epoch: 1 | remaining: 248s    
step 00266 (17.5%) | loss: 4.072306 | lrm: 1.00 | dt: 206ms | tok/sec: 158,919 | mfu: 0.8% | epoch: 1 | remaining: 247s    
step 00267 (17.6%) | loss: 4.068205 | lrm: 1.00 | dt: 208ms | tok/sec: 157,872 | mfu: 0.8% | epoch: 1 | remaining: 247s    
step 00268 (17.6%) | loss: 4.067976 | lrm: 1.00 | dt: 206ms | tok/sec: 159,110 | mfu: 0.8% | epoch: 1 | remaining: 247s    
step 00269 (17.7%) | loss: 4.065419 | lrm: 1.00 | dt: 207ms | tok/sec: 158,243 | mfu: 0.8% | epoch: 1 | remaining: 247s    
step 00270 (17.8%) | loss: 4.078609 | lrm: 1.00 | dt: 206ms | tok/sec: 159,114 | mfu: 0.8% | epoch: 1 | remaining: 246s    
step 00271 (17.8%) | loss: 4.071175 | lrm: 1.00 | dt: 207ms | tok/sec: 158,496 | mfu: 0.8% | epoch: 1 | remaining: 246s    
step 00272 (17.9%) | loss: 4.063982 | lrm: 1.00 | dt: 208ms | tok/sec: 157,889 | mfu: 0.8% | epoch: 1 | remaining: 246s    
step 00273 (18.0%) | loss: 4.058997 | lrm: 1.00 | dt: 207ms | tok/sec: 158,617 | mfu: 0.8% | epoch: 1 | remaining: 246s    
step 00274 (18.0%) | loss: 4.046499 | lrm: 1.00 | dt: 206ms | tok/sec: 159,049 | mfu: 0.8% | epoch: 1 | remaining: 246s    
step 00275 (18.1%) | loss: 4.053003 | lrm: 1.00 | dt: 207ms | tok/sec: 157,983 | mfu: 0.8% | epoch: 1 | remaining: 245s    
step 00276 (18.2%) | loss: 4.047062 | lrm: 1.00 | dt: 207ms | tok/sec: 158,487 | mfu: 0.8% | epoch: 1 | remaining: 245s    
step 00277 (18.2%) | loss: 4.044800 | lrm: 1.00 | dt: 208ms | tok/sec: 157,687 | mfu: 0.8% | epoch: 1 | remaining: 245s    
step 00278 (18.3%) | loss: 4.040358 | lrm: 1.00 | dt: 206ms | tok/sec: 158,857 | mfu: 0.8% | epoch: 1 | remaining: 245s    
step 00279 (18.4%) | loss: 4.038334 | lrm: 1.00 | dt: 207ms | tok/sec: 158,102 | mfu: 0.8% | epoch: 1 | remaining: 245s    
step 00280 (18.5%) | loss: 4.042195 | lrm: 1.00 | dt: 207ms | tok/sec: 158,341 | mfu: 0.8% | epoch: 1 | remaining: 244s    
step 00281 (18.5%) | loss: 4.032158 | lrm: 1.00 | dt: 208ms | tok/sec: 157,809 | mfu: 0.8% | epoch: 1 | remaining: 244s    
step 00282 (18.6%) | loss: 4.043968 | lrm: 1.00 | dt: 207ms | tok/sec: 158,615 | mfu: 0.8% | epoch: 1 | remaining: 244s    
step 00283 (18.7%) | loss: 4.041396 | lrm: 1.00 | dt: 207ms | tok/sec: 158,114 | mfu: 0.8% | epoch: 1 | remaining: 244s    
step 00284 (18.7%) | loss: 4.043843 | lrm: 1.00 | dt: 208ms | tok/sec: 157,558 | mfu: 0.8% | epoch: 1 | remaining: 244s    
step 00285 (18.8%) | loss: 4.026470 | lrm: 1.00 | dt: 206ms | tok/sec: 159,199 | mfu: 0.8% | epoch: 1 | remaining: 243s    
step 00286 (18.9%) | loss: 4.029475 | lrm: 1.00 | dt: 206ms | tok/sec: 158,694 | mfu: 0.8% | epoch: 1 | remaining: 243s    
step 00287 (18.9%) | loss: 4.008553 | lrm: 1.00 | dt: 207ms | tok/sec: 158,621 | mfu: 0.8% | epoch: 1 | remaining: 243s    
step 00288 (19.0%) | loss: 4.016566 | lrm: 1.00 | dt: 208ms | tok/sec: 157,551 | mfu: 0.8% | epoch: 1 | remaining: 243s    
step 00289 (19.1%) | loss: 4.014667 | lrm: 1.00 | dt: 207ms | tok/sec: 158,495 | mfu: 0.8% | epoch: 1 | remaining: 243s    
step 00290 (19.1%) | loss: 4.017401 | lrm: 1.00 | dt: 207ms | tok/sec: 158,655 | mfu: 0.8% | epoch: 1 | remaining: 242s    
step 00291 (19.2%) | loss: 4.010291 | lrm: 1.00 | dt: 208ms | tok/sec: 157,775 | mfu: 0.8% | epoch: 1 | remaining: 242s    
step 00292 (19.3%) | loss: 4.007434 | lrm: 1.00 | dt: 207ms | tok/sec: 158,506 | mfu: 0.8% | epoch: 1 | remaining: 242s    
step 00293 (19.4%) | loss: 3.999709 | lrm: 1.00 | dt: 207ms | tok/sec: 158,413 | mfu: 0.8% | epoch: 1 | remaining: 242s    
step 00294 (19.4%) | loss: 4.003757 | lrm: 1.00 | dt: 207ms | tok/sec: 158,198 | mfu: 0.8% | epoch: 1 | remaining: 242s    
step 00295 (19.5%) | loss: 4.008584 | lrm: 1.00 | dt: 208ms | tok/sec: 157,632 | mfu: 0.8% | epoch: 1 | remaining: 241s    
step 00296 (19.6%) | loss: 4.008963 | lrm: 1.00 | dt: 208ms | tok/sec: 157,835 | mfu: 0.8% | epoch: 1 | remaining: 241s    
step 00297 (19.6%) | loss: 4.018821 | lrm: 1.00 | dt: 206ms | tok/sec: 158,858 | mfu: 0.8% | epoch: 1 | remaining: 241s    
step 00298 (19.7%) | loss: 4.018319 | lrm: 1.00 | dt: 208ms | tok/sec: 157,702 | mfu: 0.8% | epoch: 1 | remaining: 241s    
step 00299 (19.8%) | loss: 4.022532 | lrm: 1.00 | dt: 207ms | tok/sec: 158,267 | mfu: 0.8% | epoch: 1 | remaining: 240s    
step 00300 (19.8%) | loss: 4.018058 | lrm: 1.00 | dt: 209ms | tok/sec: 156,971 | mfu: 0.8% | epoch: 1 | remaining: 240s    
step 00301 (19.9%) | loss: 4.009400 | lrm: 1.00 | dt: 207ms | tok/sec: 158,223 | mfu: 0.8% | epoch: 1 | remaining: 240s    
step 00302 (20.0%) | loss: 4.012897 | lrm: 1.00 | dt: 207ms | tok/sec: 158,195 | mfu: 0.8% | epoch: 1 | remaining: 240s    
step 00303 (20.0%) | loss: 4.018112 | lrm: 1.00 | dt: 207ms | tok/sec: 158,067 | mfu: 0.8% | epoch: 1 | remaining: 240s    
step 00304 (20.1%) | loss: 4.013769 | lrm: 1.00 | dt: 208ms | tok/sec: 157,909 | mfu: 0.8% | epoch: 1 | remaining: 239s    
step 00305 (20.2%) | loss: 4.009315 | lrm: 1.00 | dt: 207ms | tok/sec: 158,059 | mfu: 0.8% | epoch: 1 | remaining: 239s    
step 00306 (20.3%) | loss: 4.008212 | lrm: 1.00 | dt: 207ms | tok/sec: 158,247 | mfu: 0.8% | epoch: 1 | remaining: 239s    
step 00307 (20.3%) | loss: 4.007204 | lrm: 1.00 | dt: 208ms | tok/sec: 157,650 | mfu: 0.8% | epoch: 1 | remaining: 239s    
step 00308 (20.4%) | loss: 3.993335 | lrm: 1.00 | dt: 206ms | tok/sec: 159,036 | mfu: 0.8% | epoch: 1 | remaining: 239s    
step 00309 (20.5%) | loss: 3.987442 | lrm: 1.00 | dt: 207ms | tok/sec: 158,055 | mfu: 0.8% | epoch: 1 | remaining: 238s    
step 00310 (20.5%) | loss: 3.982060 | lrm: 1.00 | dt: 208ms | tok/sec: 157,359 | mfu: 0.8% | epoch: 1 | remaining: 238s    
step 00311 (20.6%) | loss: 3.984019 | lrm: 1.00 | dt: 208ms | tok/sec: 157,174 | mfu: 0.8% | epoch: 1 | remaining: 238s    
step 00312 (20.7%) | loss: 3.969401 | lrm: 1.00 | dt: 206ms | tok/sec: 158,991 | mfu: 0.8% | epoch: 1 | remaining: 238s    
step 00313 (20.7%) | loss: 3.962389 | lrm: 1.00 | dt: 207ms | tok/sec: 158,450 | mfu: 0.8% | epoch: 1 | remaining: 238s    
step 00314 (20.8%) | loss: 3.962613 | lrm: 1.00 | dt: 207ms | tok/sec: 158,045 | mfu: 0.8% | epoch: 1 | remaining: 237s    
step 00315 (20.9%) | loss: 3.967986 | lrm: 1.00 | dt: 207ms | tok/sec: 158,067 | mfu: 0.8% | epoch: 1 | remaining: 237s    
